anchor,variant,edit_distance,description,model,trained_cos,kron_cos,bucket,anchor_pieces,variant_pieces
run,run,0,self,llama-3.2-1B,1.0000,1.0000,self,1,1
run,Run,1,case_swap,llama-3.2-1B,0.7415,0.6665,same_canonical,1,1
run,RUN,3,all_caps,llama-3.2-1B,0.6501,-0.0004,same_canonical,1,1
run,runs,1,morph_+s,llama-3.2-1B,0.6155,0.8660,morphological,1,1
run,ran,2,morph_irregular,llama-3.2-1B,0.3667,0.6665,morphological,1,1
run,runner,3,morph_+er,llama-3.2-1B,0.4709,0.7070,morphological,1,1
run,running,4,morph_+ing,llama-3.2-1B,0.4851,0.6545,morphological,1,1
run,rune,1,near_unrelated,llama-3.2-1B,0.1944,0.8660,unrelated,1,2
run,road,3,unrelated_short,llama-3.2-1B,0.0745,0.2884,unrelated,1,1
run,kitchen,6,unrelated_long,llama-3.2-1B,0.0707,-0.0006,unrelated,1,2
compute,compute,0,self,llama-3.2-1B,1.0000,1.0000,self,1,1
compute,Compute,1,case_swap,llama-3.2-1B,0.7069,0.8570,same_canonical,1,1
compute,computes,1,morph_+s,llama-3.2-1B,0.3035,0.9353,morphological,1,2
compute,computed,1,morph_+d,llama-3.2-1B,0.5123,0.9353,morphological,1,1
compute,computer,1,morph_+r,llama-3.2-1B,0.3595,0.9353,morphological,1,1
compute,computing,2,morph_+ing,llama-3.2-1B,0.2941,0.7557,morphological,1,2
compute,computation,3,morph_+ation,llama-3.2-1B,0.1930,0.6834,morphological,1,2
compute,commute,1,near_unrelated,llama-3.2-1B,0.0546,0.8570,unrelated,1,2
compute,compose,2,unrelated,llama-3.2-1B,0.1598,0.7140,unrelated,1,1
compute,kitchen,7,unrelated_long,llama-3.2-1B,0.0037,-0.0009,unrelated,1,2
nation,nation,0,self,llama-3.2-1B,1.0000,1.0000,self,1,1
nation,Nation,1,case_swap,llama-3.2-1B,0.6552,0.8332,same_canonical,1,1
nation,nations,1,morph_+s,llama-3.2-1B,0.2053,0.9258,morphological,1,2
nation,national,2,morph_+al,llama-3.2-1B,0.4423,0.8659,morphological,1,1
nation,nationally,4,morph_+ally,llama-3.2-1B,0.2093,0.7744,morphological,1,2
nation,station,1,near_unrelated,llama-3.2-1B,0.1039,-0.0008,unrelated,1,1
nation,notion,2,near_unrelated_2,llama-3.2-1B,0.0628,0.8332,unrelated,1,2
nation,ration,1,near_unrelated_3,llama-3.2-1B,0.2078,0.8332,unrelated,1,1
nation,kitchen,6,unrelated,llama-3.2-1B,0.0235,0.1536,unrelated,1,2
import,import,0,self,llama-3.2-1B,1.0000,1.0000,self,1,1
import,Import,1,case_swap,llama-3.2-1B,0.6168,0.8332,same_canonical,1,1
import,imports,1,morph_+s,llama-3.2-1B,0.3841,0.9258,morphological,1,1
import,imported,2,morph_+ed,llama-3.2-1B,0.6849,0.8659,morphological,1,2
import,importing,3,morph_+ing,llama-3.2-1B,0.6944,0.8163,morphological,1,2
import,important,3,near_unrelated,llama-3.2-1B,0.2734,0.8163,unrelated,1,1
import,export,2,antonym,llama-3.2-1B,0.4381,0.6664,unrelated,1,1
import,kitchen,7,unrelated,llama-3.2-1B,0.0662,-0.0008,unrelated,1,2
code,code,0,self,llama-3.2-1B,1.0000,1.0000,self,1,1
code,Code,1,case_swap,llama-3.2-1B,0.7585,0.7499,same_canonical,1,1
code,codes,1,morph_+s,llama-3.2-1B,0.5913,0.8944,morphological,1,1
code,coded,1,morph_+d,llama-3.2-1B,0.4275,0.8944,morphological,1,1
code,coding,2,morph_+ing,llama-3.2-1B,0.3794,0.6121,morphological,1,1
code,codec,1,morph_+c,llama-3.2-1B,0.2368,0.8944,morphological,1,1
code,decode,2,morph_prefix,llama-3.2-1B,0.1402,-0.0006,morphological,1,1
code,encode,2,morph_prefix_2,llama-3.2-1B,0.2176,-0.0006,morphological,1,1
code,kitchen,6,unrelated,llama-3.2-1B,0.0851,-0.0006,unrelated,1,2
run,run,0,self,qwen3-32B,1.0000,1.0000,self,1,1
run,Run,1,case_swap,qwen3-32B,0.2483,0.6665,same_canonical,1,1
run,RUN,3,all_caps,qwen3-32B,0.1897,-0.0004,same_canonical,1,1
run,runs,1,morph_+s,qwen3-32B,0.1745,0.8660,morphological,1,1
